"HTS Number","Indent","Description","Unit of Quantity","General Rate of Duty","Special Rate of Duty","Column 2 Rate of Duty","Quota Quantity","Additional Duties"
"7116.20","1","Of precious or semiprecious stones (natural, synthetic or reconstructed):","","","","","",""
"","2","Articles of jewelry:","","","","",,
"7116.20.05.00","3","Valued not over $40 per piece","[""g""]","3.3%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","80%","",""
"7116.20.15.00","3","Other","[""g""]","6.5%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","80%","",""
"","2","Other:","","","","",,
"","3","Of semiprecious stones (except rock crystal):","","","","",,
"7116.20.30.00","4","Graded semiprecious stones strung temporarily for convenience of transport","[""g""]","2.1%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","50%","",""
"7116.20.35.00","4","Figurines of semiprecious stone","[""No.""]","4.5%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","50%","",""
"7116.20.40.00","4","Other","[""No.""]","10.5%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","50%","",""
"7116.20.50.00","3","Other","[""No.""]","Free","","50%","",""
"7117","0","Imitation jewelry:","","","","","",""
"","1","Of base metal, whether or not plated with precious metal:","","","","",,
"7117.11.00.00","2","Cuff links and studs","[""No.""]","8%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","110%","",""
"7117.19","2","Other:","","","","","",""
"","3","Rope, curb, cable, chain and similar articles produced in continuous lengths, all the foregoing, whether or not cut to specific lengths and whether or not set with imitation pearls or imitation gemstones, suitable for use in the manufacture of articles provided for in this heading:","","","","",,
"","4","Valued not over 33 cents per meter:","","","","",,
"7117.19.05.00","5","Toy jewelry valued not over 8 cents per piece","[""kg""]","Free","","80%","",""
"7117.19.15.00","5","Other","[""kg""]","8%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","80%","",""
"7117.19.20.00","4","Valued over 33 cents per meter","[""kg""]","11%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","110%","",""
"7117.19.30.00","3","Religious articles of a purely devotional charac- ter designed to be worn on apparel or carried on or about or attached to the person","[""kg""]","3.9%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","45%","",""
"","3","Other:","","","","",,
"7117.19.60.00","4","Toy jewelry valued not over 8 cents per piece","[""kg""]","Free","","110%","",""
"7117.19.90.00","4","Other","[""kg""]","11%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","110%","",""
"7117.90","1","Other:","","","","","",""
"7117.90.10.00","2","Necklaces, valued not over 30 cents per dozen, composed wholly of plastic shapes mounted on fiber string","[""doz.""]","Free","","Free","",""
"","2","Religious articles of a purely devotional character designed to be worn on apparel or carried on or about or attached to the person:","","","","",,
"7117.90.20.00","3","Rosaries and chaplets","[""kg""]","3.3%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","50%","",""
"7117.90.30.00","3","Other","[""kg""]","3.9%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","45%","",""
"","2","Other:","","","","",,
"","3","Valued not over 20 cents per dozen pieces or parts:","","","","",,
"7117.90.45.00","4","Toy jewelry (except parts)","[""kg""]","Free","","45%","",""
"7117.90.55.00","4","Other","[""kg""]","7.2%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","45%","",""
"","3","Valued over 20 cents per dozen pieces or parts:","","","","",,
"7117.90.60.00","4","Toy jewelry (except parts) valued not over 8 cents per piece","[""kg""]","Free","","110%","",""
"","4","Other:","","","","",,
"7117.90.75.00","5","Of plastics","[""kg""]","Free","","110%","",""
"7117.90.90.00","5","Other","[""kg""]","11%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","110%","",""
"7118","0","Coin:","","","","","",""
"7118.10.00.00","1","Coin (other than gold coin), not being legal tender","[""g""]","Free","","Free","",""
"7118.90.00","1","Other","","Free","","Free","",""
"","2","Gold:","","","","",,
"7118.90.00.11","3","Canadian maple leaf","[""g"",""Au g""]","","","","",""
"7118.90.00.19","3","Other","[""g"",""Au g""]","","","","",""
"7118.90.00.20","2","Platinum","[""g"",""Pt g""]","","","","",""
"7118.90.00.55","2","Other","[""g""]","","","","",""
"","1","I. PRIMARY MATERIALS; PRODUCTS IN GRANULAR OR POWDER FORM","","","","",,
"7201","0","Pig iron and spiegeleisen in pigs, blocks or other primary forms:","","","","","",""
"7201.10.00.00","1","Nonalloy pig iron containing by weight 0.5 percent or less of phosphorus","[""t""]","Free","","$1.11/t","",""
"7201.20.00.00","1","Nonalloy pig iron containing by weight more than 0.5 percent of phosphorus","[""t""]","Free","","$1.11/t","",""
"7201.50","1","Alloy pig iron; spiegeleisen:","","","","","",""
"7201.50.30.00","2","Alloy pig iron","[""t""]","Free","","$1.11/t","",""
"7201.50.60.00","2","Spiegeleisen","[""t""]","Free","","0.5%","",""
"7202","0","Ferroalloys:","","","","","",""
"","1","Ferromanganese:","","","","",,
"7202.11","2","Containing by weight more than 2 percent of carbon:","","","","","",""
"7202.11.10.00","3","Containing by weight more than 2 percent but not more than 4 percent of carbon","[""kg"",""Mn kg""]","1.4%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","6.5%","",""
"7202.11.50.00","3","Containing by weight more than 4 percent of carbon","[""kg"",""Mn kg""]","1.5%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","10.5%","",""
"7202.19","2","Other:","","","","","",""
"7202.19.10.00","3","Containing by weight not more than 1 percent of carbon","[""kg"",""Mn kg""]","2.3%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","22%","",""
"7202.19.50.00","3","Containing by weight more than 1 percent but not more than 2 percent of carbon","[""kg"",""Mn kg""]","1.4%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","6.5%","",""
"","1","Ferrosilicon:","","","","",,
"7202.21","2","Containing by weight more than 55 percent of silicon:","","","","","",""
"","3","Containing by weight more than 55 percent but not more than 80 percent of silicon:","","","","",,
"7202.21.10.00","4","Containing by weight more than 3 percent of calcium","[""kg"",""Si kg""]","1.1%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","11.5%","",""
"7202.21.50.00","4","Other","[""kg"",""Si kg""]","1.5%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","11.5%","",""
"7202.21.75.00","3","Containing by weight more than 80 percent but not more than 90 percent of silicon","[""kg"",""Si kg""]","1.9%","Free (A+,AU,BH,CL,CO,D,E,IL, JO,KR,MA, OM,P,PA,PE,S,SG)","9%","",""
"7202.21.90.00","3","Containing by weight more than 90 percent of silicon","[""kg"",""Si kg""]","5.8%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","40%","",""
"7202.29.00","2","Other","","Free","","4.4¢/kg on silicon content","",""
"7202.29.00.10","3","Containing by weight over 2 percent of magnesium","[""kg"",""Si kg""]","","","","",""
"7202.29.00.50","3","Other","[""kg"",""Si kg""]","","","","",""
"7202.30.00.00","1","Ferrosilicon manganese","[""kg"",""Mn kg""]","3.9%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","23%","",""
"","1","Ferrochromium:","","","","",,
"7202.41.00.00","2","Containing by weight more than 4 percent of carbon","[""kg"",""Cr kg""]","1.9%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","7.5%","",""
"7202.49","2","Other:","","","","","",""
"7202.49.10.00","3","Containing by weight more than 3 percent of carbon","[""kg"",""Cr kg""]","1.9%","Free (A+,AU,BH,CL,CO,D,E,IL, JO,KR,MA, OM,P,PA,PE,S,SG)","7.5%","",""
"7202.49.50","3","Other","","3.1%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","30%","",""
"7202.49.50.10","4","Containing by weight more than 0.5 percent of carbon","[""kg"",""Cr kg""]","","","","",""
"7202.49.50.90","4","Other","[""kg"",""Cr kg""]","","","","",""
"7202.50.00.00","1","Ferrosilicon chromium","[""kg"",""Cr kg""]","10%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"7202.60.00.00","1","Ferronickel","[""kg"",""Ni kg""]","Free","","6.6¢/kg","",""
"7202.70.00.00","1","Ferromolybdenum","[""kg"",""Mo kg""]","4.5%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","31.5%","",""
"7202.80.00.00","1","Ferrotungsten and ferrosilicon tungsten","[""kg"",""W kg""]","5.6%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","35%","",""
"","1","Other:","","","","",,
"7202.91.00.00","2","Ferrotitanium and ferrosilicon titanium","[""kg""]","3.7%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"7202.92.00.00","2","Ferrovanadium","[""kg"",""V kg""]","4.2%","Free (A+,AU,BH,CL,CO,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"7202.93","2","Ferroniobium:","","","","","",""
"7202.93.40.00","3","Containing by weight less than 0.02 percent of phosphorus or sulfur or less than 0.4 percent of silicon","[""kg""]","5%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"7202.93.80.00","3","Other","[""kg""]","5%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"7202.99","2","Other:","","","","","",""
"7202.99.10.00","3","Ferrozirconium","[""kg""]","4.2%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"7202.99.20.00","3","Calcium silicon","[""kg""]","5%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"7202.99.80","3","Other","","5%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"7202.99.80.20","4","Ferrophosphorus","[""kg""]","","","","",""
"7202.99.80.40","4","Other","[""kg""]","","","","",""
"7203","0","Ferrous products obtained by direct reduction of iron ore and other spongy ferrous products, in lumps, pellets or similar forms; iron having a minimum purity by weight of 99.94 percent, in lumps, pellets or similar forms:","","","","","",""
"7203.10.00.00","1","Ferrous products obtained by direct reduction of iron ore","[""t""]","Free","","$2.21/t","",""
"7203.90.00.00","1","Other","[""t""]","Free","","$2.21/t","",""
"7204","0","Ferrous waste and scrap; remelting scrap ingots of iron or steel:","","","","","",""
"7204.10.00.00","1","Waste and scrap of cast iron","[""t""]","Free","","74¢/t","",""
"","1","Waste and scrap of alloy steel:","","","","",,
"7204.21.00.00","2","Of stainless steel","[""t""]","Free","","74¢/t","",""
"7204.29.00.00","2","Other","[""t""]","Free","","74¢/t","",""
"7204.30.00.00","1","Waste and scrap of tinned iron or steel","[""t""]","Free","","Free","",""
"","1","Other waste and scrap:","","","","",,
"7204.41.00","2","Turnings, shavings, chips, milling waste, sawdust, filings, trimmings and stampings, whether or not in bundles","","Free","","74¢/t","",""
"7204.41.00.20","3","No. 1 bundles","[""t""]","","","","",""
"7204.41.00.40","3","No. 2 bundles","[""t""]","","","","",""
"7204.41.00.60","3","Borings, shovelings and turnings","[""t""]","","","","",""
"7204.41.00.80","3","Other","[""t""]","","","","",""
"7204.49.00","2","Other","","Free","","74¢/t","",""
"7204.49.00.20","3","No. 1 heavy melting","[""t""]","","","","",""
"7204.49.00.40","3","No. 2 heavy melting","[""t""]","","","","",""
"","3","Other:","","","","",,
"7204.49.00.60","4","Cut plate and structural","[""t""]","","","","",""
"7204.49.00.70","4","Shredded","[""t""]","","","","",""
"7204.49.00.80","4","Other","[""t""]","","","","",""
"7204.50.00.00","1","Remelting scrap ingots","[""t""]","Free","","74¢/t","",""
"7205","0","Granules and powders, of pig iron, spiegeleisen, iron or steel:","","","","","",""
"7205.10.00.00","1","Granules","[""kg""]","Free","","3%","",""
"","1","Powders:","","","","",,
"7205.21.00.00","2","Of alloy steel","[""kg""]","Free","","45%","",""
"7205.29.00.00","2","Other","[""t""]","Free","","$2.21/t","",""
"","1","II. IRON AND NONALLOY STEEL","","","","",,
"7206","0","Iron and nonalloy steel in ingots or other primary forms (excluding iron of heading 7203):","","","","","",""
"7206.10.00.00","1","Ingots","[""kg""]","Free","","20%","",""
"7206.90.00.00","1","Other","[""kg""]","Free","","20%","",""
"7207","0","Semifinished products of iron or nonalloy steel:","","","","","",""
"","1","Containing by weight less than 0.25 percent of carbon:","","","","",,
"7207.11.00.00","2","Of rectangular (including square) cross section, the width measuring less than twice the thickness","[""kg""]","Free","","20%","",""
"7207.12.00","2","Other, of rectangular (other than square) cross section","","Free","","20%","",""
"7207.12.00.10","3","Having a width measuring less than four times the thickness","[""kg""]","","","","",""
"7207.12.00.50","3","Having a width measuring at least four times the thickness","[""kg""]","","","","",""
"7207.19.00","2","Other","","Free","","20%","",""
"7207.19.00.30","3","Of circular cross section","[""kg""]","","","","",""
"7207.19.00.90","3","Other","[""kg""]","","","","",""
"7207.20.00","1","Containing by weight 0.25 percent or more of carbon","","Free","","20%","",""
"","2","Of rectangular (including square) cross section:","","","","",,
"7207.20.00.25","3","Having a width measuring less than four times the thickness","[""kg""]","","","","",""
"7207.20.00.45","3","Having a width measuring at least four times the thickness","[""kg""]","","","","",""
"7207.20.00.75","2","Of circular cross section","[""kg""]","","","","",""
"7207.20.00.90","2","Other","[""kg""]","","","","",""
"7208","0","Flat-rolled products of iron or nonalloy steel, of a width of <il>600 mm</il> or more, hot-rolled, not clad, plated or coated:","","","","","",""
"7208.10","1","In coils, not further worked than hot-rolled, with patterns in relief:","","","","","",""
"7208.10.15.00","2","Pickled","[""kg""]","Free","","0.4¢/kg + 20%","",""
"","2","Other:","","","","",,
"7208.10.30.00","3","Of a thickness of <il>4.75 mm</il> or more","[""kg""]","Free","","20%","",""
"7208.10.60.00","3","Of a thickness of less than <il>4.75 mm</il>","[""kg""]","Free","","20%","",""
"","1","Other, in coils, not further worked than hot-rolled, pickled:","","","","",,
"7208.25","2","Of a thickness of <il>4.75 mm</il> or more:","","","","","",""
"7208.25.30.00","3","Of high-strength steel","[""kg""]","Free","","20%","",""
"7208.25.60.00","3","Other","[""kg""]","Free","","0.4¢/kg + 20%","",""
"7208.26.00","2","Of a thickness of 3 mm or more but less than <il>4.75 mm</il>","","Free","","0.4¢/kg + 20%","",""
"7208.26.00.30","3","High-strength steel","[""kg""]","","","","",""
"7208.26.00.60","3","Other","[""kg""]","","","","",""
"7208.27.00","2","Of a thickness of less than 3 mm","","Free","","0.4¢/kg + 20%","",""
"","3","High-strength steel:","","","","",,
"7208.27.00.40","4","“Advanced” or “ultra” of a kind described in statistical note 4 to this chapter","[""kg""]","","","","",""
"7208.27.00.45","4","Other","[""kg""]","","","","",""
"7208.27.00.60","3","Other","[""kg""]","","","","",""
"","1","Other, in coils, not further worked than hot-rolled:","","","","",,
"7208.36.00","2","Of a thickness exceeding 10 mm","","Free","","20%","",""
"7208.36.00.30","3","High-strength steel","[""kg""]","","","","",""
"7208.36.00.60","3","Other","[""kg""]","","","","",""
"7208.37.00","2","Of a thickness of <il>4.75 mm</il> or more but not exceeding 10 mm","","Free","","20%","",""
"7208.37.00.30","3","High-strength steel","[""kg""]","","","","",""
"7208.37.00.60","3","Other","[""kg""]","","","","",""
"7208.38.00","2","Of a thickness of 3 mm or more but less than <il>4.75 mm</il>","","Free","","20%","",""
"7208.38.00.15","3","High-strength steel","[""kg""]","","","","",""
"","3","Other:","","","","",,
"7208.38.00.30","4","With untrimmed edges","[""kg""]","","","","",""
"7208.38.00.90","4","Other","[""kg""]","","","","",""
"7208.39.00","2","Of a thickness of less than 3 mm","","Free","","20%","",""
"","3","High-strength steel:","","","","",,
"7208.39.00.20","4","“Advanced” or “ultra” of a kind described in statistical note 4 to this chapter","[""kg""]","","","","",""
"7208.39.00.25","4","Other","[""kg""]","","","","",""
"","3","Other:","","","","",,
"7208.39.00.30","4","With untrimmed edges","[""kg""]","","","","",""
"7208.39.00.90","4","Other","[""kg""]","","","","",""
"7208.40","1","Not in coils, not further worked than hot-rolled, with patterns in relief:","","","","","",""
"7208.40.30","2","Of a thickness of <il>4.75 mm</il> or more","","Free","","20%","",""
"7208.40.30.30","3","Of a thickness exceeding 10 mm","[""kg""]","","","","",""
"7208.40.30.60","3","Other","[""kg""]","","","","",""
"7208.40.60","2","Of a thickness of less than <il>4.75 mm</il>","","Free","","20%","",""
"7208.40.60.30","3","Of a thickness less than 3 mm","[""kg""]","","","","",""
"7208.40.60.60","3","Other","[""kg""]","","","","",""
"","1","Other, not in coils, not further worked than hot-rolled:","","","","",,
"7208.51.00","2","Of a thickness exceeding 10 mm","","Free","","20%","",""
"7208.51.00.30","3","Universal mill plate","[""kg""]","","","","",""
"","3","Other:","","","","",,
"7208.51.00.45","4","Of high-strength steel","[""kg""]","","","","",""
"7208.51.00.60","4","Other","[""kg""]","","","","",""
"7208.52.00.00","2","Of a thickness of <il>4.75 mm</il> or more but not exceeding 10 mm","[""kg""]","Free","","20%","",""
"7208.53.00.00","2","Of a thickness of 3 mm or more but less than <il>4.75 mm</il>","[""kg""]","Free","","20%","",""
"7208.54.00.00","2","Of a thickness of less than 3 mm","[""kg""]","Free","","20%","",""
"7208.90.00.00","1","Other","[""kg""]","Free","","20%","",""
"7209","0","Flat-rolled products of iron or nonalloy steel, of a width of <il>600 mm</il> or more, cold-rolled (cold-reduced), not clad, plated or coated:","","","","","",""
"","1"," In coils, not further worked than cold-rolled (cold-reduced):","","","","",,
"7209.15.00.00","2","Of a thickness of 3 mm or more","[""kg""]","Free","","0.4¢/kg + 20%","",""
"7209.16.00","2","Of a thickness exceeding <il>1 mm</il> but less than 3 mm","","Free","","0.4¢/kg + 20%","",""
"","3","Of high-strength steel:","","","","",,
"","4","Annealed:","","","","",,
"7209.16.00.40","5","“Advanced” or “ultra” of a kind described in statistical note 4 to this chapter","[""kg""]","","","","",""
"7209.16.00.45","5","Other","[""kg""]","","","","",""
"7209.16.00.60","4","Other","[""kg""]","","","","",""
"","3","Other:","","","","",,
"7209.16.00.70","4","Annealed","[""kg""]","","","","",""
"7209.16.00.91","4","Other","[""kg""]","","","","",""
"7209.17.00","2","Of a thickness of 0.5 mm or more but not exceeding <il>1 mm</il>","","Free","","0.4¢/kg + 20%","",""
"","3","Of high-strength steel:","","","","",,
"","4","Annealed:","","","","",,
"7209.17.00.40","5","“Advanced” or “ultra” of a kind described in statistical note 4 to this chapter","[""kg""]","","","","",""
"7209.17.00.45","5","Other","[""kg""]","","","","",""
"7209.17.00.60","4","Other","[""kg""]","","","","",""
"","3","Other:","","","","",,
"7209.17.00.70","4","Annealed","[""kg""]","","","","",""
"7209.17.00.91","4","Other","[""kg""]","","","","",""
"7209.18","2","Of a thickness of less than 0.5 mm:","","","","","",""
"7209.18.15","3","Of high-strength steel","","Free","","0.4¢/kg + 20%","",""
"7209.18.15.30","4","Annealed","[""kg""]","","","","",""
"7209.18.15.60","4","Other","[""kg""]","","","","",""
"","3","Other:","","","","",,
"7209.18.25","4","Of a thickness of less than 0.361 mm (blackplate)","","Free","","20%","",""
"7209.18.25.20","5","Annealed","[""kg""]","","","","",""
"7209.18.25.85","5","Other","[""kg""]","","","","",""
"7209.18.60","4","Other","","Free","","0.4¢/kg + 20%","",""
"7209.18.60.20","5","Annealed","[""kg""]","","","","",""
"7209.18.60.90","5","Other","[""kg""]","","","","",""
"","1","Not in coils, not further worked than cold-rolled (cold-reduced):","","","","",,
"7209.25.00.00","2","Of a thickness of 3 mm or more","[""kg""]","Free","","0.4¢/kg + 20%","",""
"7209.26.00.00","2","Of a thickness exceeding <il>1 mm</il> but less than 3 mm","[""kg""]","Free","","0.4¢/kg + 20%","",""
"7209.27.00.00","2","Of a thickness of 0.5 mm or more but not exceeding <il>1 mm</il>","[""kg""]","Free","","0.4¢/kg + 20%","",""
"7209.28.00.00","2","Of a thickness of less than 0.5 mm","[""kg""]","Free","","0.4¢/kg + 20%","",""
"7209.90.00.00","1","Other","[""kg""]","Free","","0.4¢/kg + 20%","",""
"7210","0","Flat-rolled products of iron or nonalloy steel, of a width of <il>600 mm</il> or more, clad, plated or coated:","","","","","",""
"","1","Plated or coated with tin:","","","","",,
"7210.11.00.00","2","Of a thickness of 0.5 mm or more","[""kg""]","Free","","6%","",""
"7210.12.00.00","2","Of a thickness of less than 0.5 mm","[""kg""]","Free","","6%","",""
"7210.20.00.00","1","Plated or coated with lead, including terne-plate","[""kg""]","Free","","6%","",""
"7210.30.00","1","Electrolytically plated or coated with zinc","","Free","","21.5%","",""
"7210.30.00.30","2","Of high-strength steel","[""kg""]","","","","",""
"7210.30.00.60","2","Other","[""kg""]","","","","",""
"","1","Otherwise plated or coated with zinc:","","","","",,
"7210.41.00.00","2","Corrugated","[""kg""]","Free","","21.5%","",""
"7210.49.00","2","Other","","Free","","21.5%","",""
"","3","Of high-strength steel:","","","","",,
"7210.49.00.40","4","“Advanced” or “ultra” of a kind described in statistical note 4 to this chapter","[""kg""]","","","","",""
"7210.49.00.45","4","Other","[""kg""]","","","","",""
"","3","Other:","","","","",,
"7210.49.00.91","4","Of a thickness of 0.4 mm or more","[""kg""]","","","","",""
"7210.49.00.95","4","Other","[""kg""]","","","","",""
"7210.50.00","1","Plated or coated with chromium oxides or with chromium and chromium oxides","","Free","","45%","",""
"7210.50.00.20","3","Of a width less than 1050 mm","[""kg""]","","","","",""
"7210.50.00.90","3","Other","[""kg""]","","","","",""
"","1","Plated or coated with aluminum:","","","","",,
"7210.61.00.00","2","Plated or coated with aluminum-zinc alloys","[""kg""]","Free","","21.5%","",""
"7210.69.00.00","2","Other","[""kg""]","Free","","21.5%","",""
"7210.70","1","Painted, varnished or coated with plastics:","","","","","",""
"7210.70.30.00","2","Not coated or plated with metal and not clad","[""kg""]","Free","","0.4¢/kg + 20%","",""
"7210.70.60","2","Other","","Free","","21.5%","",""
"","3","Zinc coated or plated:","","","","",,
"7210.70.60.30","4","Electrolytically coated or plated","[""kg""]","","","","",""
"7210.70.60.60","4","Other","[""kg""]","","","","",""
"7210.70.60.90","3","Other","[""kg""]","","","","",""
"7210.90","1","Other:","","","","","",""
"7210.90.10.00","2","Clad","[""kg""]","Free","","30%","",""
"","2","Other:","","","","",,
"7210.90.60.00","3","Electrolytically coated or plated with base metal","[""kg""]","Free","","45%","",""
"7210.90.90.00","3","Other","[""kg""]","Free","","21.5%","",""
"7211","0","Flat-rolled products of iron or nonalloy steel, of a width of less than <il>600 mm</il>, not clad, plated or coated:","","","","","",""
"","1","Not further worked than hot-rolled:","","","","",,
"7211.13.00.00","2","Universal mill plate","[""kg""]","Free","","20%","",""
"7211.14.00","2","Other, of a thickness of <il>4.75 mm</il> or more","","Free","","20%","",""
"7211.14.00.30","3","Of high-strength steel","[""kg""]","","","","",""
"","3","Other:","","","","",,
"7211.14.00.45","4","Not in coils","[""kg""]","","","","",""
"7211.14.00.90","4","Other","[""kg""]","","","","",""
"7211.19","2","Other:","","","","","",""
"","3","Of a width of less than 300 mm:","","","","",,
"7211.19.15.00","4","Of high-strength steel","[""kg""]","Free","","25%","",""
"","4","Other:","","","","",,
"7211.19.20.00","5","Of a thickness exceeding 1.25 mm","[""kg""]","Free","","25%","",""
"7211.19.30.00","5","Other","[""kg""]","Free","","25%","",""
"","3","Other:","","","","",,
"7211.19.45.00","4","Of high-strength steel","[""kg""]","Free","","20%","",""
"","4","Other:","","","","",,
"7211.19.60.00","5","Pickled","[""kg""]","Free","","0.4¢/kg + 20%","",""
"7211.19.75","5","Other","","Free","","20%","",""
"","6","In coils:","","","","",,
"7211.19.75.30","7","With untrimmed edges","[""kg""]","","","","",""
"7211.19.75.60","7","Other","[""kg""]","","","","",""
"7211.19.75.90","6","Other","[""kg""]","","","","",""
"","1","Not further worked than cold-rolled (cold-reduced):","","","","",,
"7211.23","2","Containing by weight less than 0.25 percent of carbon:","","","","","",""
"","3","Of a width of less than 300 mm:","","","","",,
"","4","Of a thickness exceeding 1.25 mm:","","","","",,
"7211.23.15.00","5","Of high-strength steel","[""kg""]","Free","","25%","",""
"7211.23.20.00","5","Other","[""kg""]","Free","","25%","",""
"7211.23.30.00","4","Of a thickness exceeding 0.25 mm but not exceeding 1.25 mm","[""kg""]","Free","","25%","",""
"7211.23.45.00","4","Of a thickness not exceeding 0.25 mm","[""kg""]","Free","","25%","",""
"7211.23.60","3","Other","","Free","","0.4¢/kg + 20%","",""
"7211.23.60.30","4","Of a thickness exceeding 1.25 mm","[""kg""]","","","","",""
"7211.23.60.60","4","Of a thickness exceeding 0.25 mm but not exceeding 1.25 mm","[""kg""]","","","","",""
"7211.23.60.90","4","Of a thickness not exceeding 0.25 mm:","[""kg""]","","","","",""
"7211.29","2","Other:","","","","","",""
"","3","Of a width of less than 300 mm:","","","","",,
"7211.29.20","4","Of a thickness exceeding 0.25 mm","","Free","","25%","",""
"7211.29.20.30","5","Of a width less than 51 mm, in coils","[""kg""]","","","","",""
"7211.29.20.90","5","Other","[""kg""]","","","","",""
"7211.29.45.00","4","Other","[""kg""]","Free","","25%","",""
"7211.29.60","3","Other","","Free","","0.4¢/kg + 20%","",""
"7211.29.60.30","4","Of a thickness exceeding 1.25 mm","[""kg""]","","","","",""
"7211.29.60.80","4","Other","[""kg""]","","","","",""
"7211.90.00.00","1","Other","[""kg""]","Free","","20%","",""
"7212","0","Flat-rolled products of iron or nonalloy steel, of a width of less than <il>600 mm</il>, clad, plated or coated:","","","","","",""
"7212.10.00.00","1","Plated or coated with tin","[""kg""]","Free","","6%","",""
"7212.20.00.00","1","Electrolytically plated or coated with zinc","[""kg""]","Free","","21.5%","",""
"7212.30","1","Otherwise plated or coated with zinc:","","","","","",""
"","2","Of a width of less than 300 mm:","","","","",,
"7212.30.10","3","Of a thickness exceeding 0.25 mm or more","","Free","","25%","",""
"7212.30.10.30","4","Of a width less than 51 mm, in coils","[""kg""]","","","","",""
"7212.30.10.90","4","Other","[""kg""]","","","","",""
"7212.30.30.00","3","Other","[""kg""]","Free","","25%","",""
"7212.30.50.00","2","Other","[""kg""]","Free","","21.5%","",""
"7212.40","1","Painted, varnished or coated with plastics:","","","","","",""
"7212.40.10.00","2","Of a width of less than 300 mm","[""kg""]","Free","","25%","",""
"7212.40.50.00","2","Other","[""kg""]","Free","","0.4¢/kg + 20%","",""
"7212.50.00.00","1","Otherwise plated or coated","[""kg""]","Free","","21.5%","",""
"7212.60.00.00","1","Clad","[""kg""]","Free","","30%","",""
"7213","0","Bars and rods, hot-rolled, in irregularly wound coils, of iron or nonalloy steel:","","","","","",""
"7213.10.00.00","1","Concrete reinforcing bars and rods","[""kg""]","Free","","20%","",""
"7213.20.00","1","Other, of free-cutting steel","","Free","","5.5%","",""
